dataset|column|type|uncompressed_size|scheme|block_size|nullable|compressed_size|compressed_header|compressed_payload|compression_ratio
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|tinyblocks|64|false|2746656|2746656|0|28.4444
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|tinyblocks|128|false|1373328|1373328|0|56.8889
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|tinyblocks|256|false|686664|686664|0|113.778
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|tinyblocks|512|false|343332|343332|0|227.556
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|btrblocks1|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|btrblocks2|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|0|int|78127104|btrblocks3|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|tinyblocks|64|false|50622232|2746656|47875576|1.54334
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|tinyblocks|128|false|49109721|1373328|47736393|1.59087
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|tinyblocks|256|false|49613784|686664|48927120|1.57471
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|tinyblocks|512|false|50537818|343332|50194486|1.54591
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|btrblocks1|64|false|43622328|0|43622328|1.79099
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|btrblocks2|64|false|34336215|0|34336215|2.27536
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|1|int|78127104|btrblocks3|64|false|34336215|0|34336215|2.27536
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|2|int|78127104|tinyblocks|64|false|2775820|2746656|29164|28.1456
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|2|int|78127104|tinyblocks|128|false|1402872|1373328|29544|55.6908
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|2|int|78127104|tinyblocks|256|false|736046|686664|49382|106.144
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|2|int|78127104|tinyblocks|512|false|409788|343332|66456|190.652
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|2|int|78127104|btrblocks1|64|false|574058|0|574058|136.096
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|3|int|78127104|tinyblocks|64|false|2775820|2746656|29164|28.1456
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|3|int|78127104|tinyblocks|128|false|1402872|1373328|29544|55.6908
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|3|int|78127104|tinyblocks|256|false|736046|686664|49382|106.144
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|3|int|78127104|tinyblocks|512|false|409788|343332|66456|190.652
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|3|int|78127104|btrblocks1|64|false|572040|0|572040|136.576
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|4|int|78127104|tinyblocks|64|false|2748992|2746656|2336|28.4203
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|4|int|78127104|tinyblocks|128|false|1375632|1373328|2304|56.7936
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|4|int|78127104|tinyblocks|256|false|690642|686664|3978|113.122
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|4|int|78127104|tinyblocks|512|false|348475|343332|5143|224.197
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_1.csv|4|int|78127104|btrblocks1|64|false|78766|0|78766|991.889
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|tinyblocks|64|false|2746656|2746656|0|28.4444
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|tinyblocks|128|false|1373328|1373328|0|56.8889
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|tinyblocks|256|false|686664|686664|0|113.778
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|tinyblocks|512|false|343332|343332|0|227.556
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|btrblocks1|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|btrblocks2|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|0|int|78127104|btrblocks3|64|false|2392|0|2392|32661.8
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|tinyblocks|64|false|50620400|2746656|47873744|1.54339
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|tinyblocks|128|false|49108733|1373328|47735405|1.5909
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|tinyblocks|256|false|49615367|686664|48928703|1.57466
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|tinyblocks|512|false|50538866|343332|50195534|1.54588
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|btrblocks1|64|false|43621420|0|43621420|1.79103
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|btrblocks2|64|false|34333031|0|34333031|2.27557
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|1|int|78127104|btrblocks3|64|false|34333031|0|34333031|2.27557
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|2|int|78127104|tinyblocks|64|false|2776336|2746656|29680|28.1404
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|2|int|78127104|tinyblocks|128|false|1403512|1373328|30184|55.6654
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|2|int|78127104|tinyblocks|256|false|737103|686664|50439|105.992
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|2|int|78127104|tinyblocks|512|false|411037|343332|67705|190.073
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|2|int|78127104|btrblocks1|64|false|620441|0|620441|125.922
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|3|int|78127104|tinyblocks|64|false|2776336|2746656|29680|28.1404
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|3|int|78127104|tinyblocks|128|false|1403512|1373328|30184|55.6654
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|3|int|78127104|tinyblocks|256|false|737103|686664|50439|105.992
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|3|int|78127104|tinyblocks|512|false|411037|343332|67705|190.073
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|3|int|78127104|btrblocks1|64|false|557278|0|557278|140.194
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|4|int|78127104|tinyblocks|64|false|2749088|2746656|2432|28.4193
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|4|int|78127104|tinyblocks|128|false|1375792|1373328|2464|56.787
/raid0/schmitt/tinyblocks/data/pbi_int/RealEstate1/RealEstate1_2.csv|4|int|78127104|tinyblocks|256|false|690893|686664|4229|113.081
