dataset|column|type|uncompressed_size|scheme|block_size|nullable|compressed_size|compressed_header|compressed_payload|compression_ratio
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/VoteTypes.csv|0|int|4096|tinyblocks|64|false|172|144|28|23.814
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/VoteTypes.csv|0|int|4096|tinyblocks|128|false|102|72|30|40.1569
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/VoteTypes.csv|0|int|4096|tinyblocks|256|false|71|36|35|57.6901
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/VoteTypes.csv|0|int|4096|tinyblocks|512|false|77|18|59|53.1948
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/VoteTypes.csv|0|int|4096|btrblocks1|64|false|85|0|85|48.1882
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/CloseReasonTypes.csv|0|int|4096|tinyblocks|64|false|171|144|27|23.9532
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/CloseReasonTypes.csv|0|int|4096|tinyblocks|128|false|117|72|45|35.0085
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/CloseReasonTypes.csv|0|int|4096|tinyblocks|256|false|85|36|49|48.1882
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/CloseReasonTypes.csv|0|int|4096|tinyblocks|512|false|92|18|74|44.5217
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/CloseReasonTypes.csv|0|int|4096|btrblocks1|64|false|73|0|73|56.1096
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/PostHistoryTypes.csv|0|int|4096|tinyblocks|64|false|193|144|49|21.2228
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/PostHistoryTypes.csv|0|int|4096|tinyblocks|128|false|143|72|71|28.6434
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/PostHistoryTypes.csv|0|int|4096|tinyblocks|256|false|111|36|75|36.9009
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/PostHistoryTypes.csv|0|int|4096|tinyblocks|512|false|118|18|100|34.7119
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/PostHistoryTypes.csv|0|int|4096|btrblocks1|64|false|161|0|161|25.441
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|tinyblocks|64|false|2909934|326592|2583342|3.19242
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|tinyblocks|128|false|2654086|163296|2490790|3.50016
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|tinyblocks|256|false|2662051|81648|2580403|3.48969
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|tinyblocks|512|false|2749559|40824|2708735|3.37862
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|btrblocks1|64|false|4412452|0|4412452|2.10534
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|btrblocks2|64|false|4412452|0|4412452|2.10534
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|0|int|9289728|btrblocks3|64|false|4412452|0|4412452|2.10534
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|tinyblocks|64|false|5966692|326592|5640100|1.55693
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|tinyblocks|128|false|5714475|163296|5551179|1.62565
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|tinyblocks|256|false|5659727|81648|5578079|1.64137
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|tinyblocks|512|false|5641514|40824|5600690|1.64667
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|btrblocks1|64|false|5635064|0|5635064|1.64856
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|btrblocks2|64|false|5625121|0|5625121|1.65147
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|1|int|9289728|btrblocks3|64|false|5625121|0|5625121|1.65147
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|2|int|9289728|tinyblocks|64|false|329184|326592|2592|28.2205
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|2|int|9289728|tinyblocks|128|false|165812|163296|2516|56.0257
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|2|int|9289728|tinyblocks|256|false|84333|81648|2685|110.155
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|2|int|9289728|tinyblocks|512|false|43546|40824|2722|213.331
/raid0/schmitt/tinyblocks/data/stackoverflow/data/stackoverflow_math_int/Badges.csv|2|int|9289728|btrblocks1|64|false|76378|0|76378|121.628
