dataset|column|type|uncompressed_size|scheme|block_size|nullable|compressed_size|compressed_header|compressed_payload|compression_ratio
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|64|false|13362204|2112204|11250000|4.49045
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|128|false|10432516|1057476|9375040|5.75147
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|256|false|9905152|530112|9375040|6.05769
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|512|false|9641470|266430|9375040|6.22336
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks1|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks2|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks3|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|64|false|43361939|2112204|41249735|1.38376
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|128|false|40432536|1057476|39375060|1.48401
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|256|false|39905236|530112|39375124|1.50362
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|512|false|39641598|266430|39375168|1.51362
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks1|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks2|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks3|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|64|false|2748|2748|0|21834.9
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|128|false|2748|2748|0|21834.9
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|256|false|2748|2748|0|21834.9
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|512|false|2748|2748|0|21834.9
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks1|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks2|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks3|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|64|false|5268|5268|0|1519.28
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|128|false|2820|2820|0|2838.15
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|256|false|1692|1596|96|4730.25
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|512|false|1176|984|192|6805.77
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks1|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks2|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks3|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|64|false|1781748|281748|1500000|4.49198
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|128|false|1641060|141060|1500000|4.87708
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|256|false|1570801|70716|1500085|5.09522
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|512|false|1535653|35544|1500109|5.21184
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks1|64|false|1563584|0|1563584|5.11874
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks2|64|false|1569939|0|1569939|5.09802
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks3|64|false|1569939|0|1569939|5.09802
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|64|false|3126548|1126548|2000000|10.2356
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|128|false|1564012|564012|1000000|20.4615
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|256|false|1282744|282744|1000000|24.9481
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|512|false|1142110|142110|1000000|28.0201
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|btrblocks1|64|false|1068848|0|1068848|29.9407
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|btrblocks2|64|false|1069085|0|1069085|29.9341
