cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
627301092.59, 2447757.39,    0.00, 2028510495.81,  67480.21,     127.10,    1089600.99, 164685190.00,     1, 3.23, 1.00, 3.81 , 0.58422, 1.8892
684533498.86, 3427786.46,    0.00, 2012434363.90, 105780.26,    1152.16,    1147656.50, 213976676.00,     1, 2.94, 1.00, 3.20 , 0.637522, 1.87423
663225119.35, 2820553.32,    0.00, 2048610483.01,  89118.13,     803.48,    1137718.41, 184191679.00,     1, 3.09, 1.00, 3.60 , 0.617677, 1.90792
639224222.20, 2468281.79,    0.00, 2014759166.42,  71108.87,      61.28,    1082239.11, 167095506.00,     1, 3.15, 1.00, 3.83 , 0.595324, 1.87639
693505269.96, 2542727.91,    0.00, 2076384000.27,  74833.50,      23.58,    1056524.56, 180308324.00,     1, 2.99, 1.00, 3.85 , 0.645877, 1.93378
653575717.24, 2363684.47,    0.00, 2074845246.80,  70328.69,      15.43,    1054860.55, 169539357.00,     1, 3.17, 1.00, 3.86 , 0.60869, 1.93235
656213519.18, 2687969.86,    0.00, 2101912990.08,  68606.86,     439.61,    1057812.24, 176468141.00,     1, 3.20, 1.00, 3.72 , 0.611146, 1.95756
668784500.67, 2558857.05,    0.00, 1998971389.78,  74871.73,     234.31,    1056999.36, 175234279.00,     1, 2.99, 1.00, 3.82 , 0.622854, 1.86169
660524905.39, 2418443.48,    0.00, 2134213847.84,  72823.48,      69.85,    1053355.39, 172275663.00,     1, 3.23, 1.00, 3.83 , 0.615162, 1.98764
663166927.27, 2435224.68,    0.00, 2127157586.12,  72053.41,      41.76,    1054837.19, 172555148.00,     1, 3.21, 1.00, 3.84 , 0.617622, 1.98107
721897989.51, 2645893.59,    0.00, 2153534348.39,  80446.82,      40.39,    1054039.31, 187741384.00,     1, 2.98, 1.00, 3.85 , 0.67232, 2.00564
710804219.17, 2594135.30,    0.00, 2114903795.44,  79111.36,      18.11,    1055773.06, 184491623.00,     1, 2.98, 1.00, 3.85 , 0.661988, 1.96966
682770114.91, 2715824.78,    0.00, 2177583439.00,  76785.85,     243.84,    1055857.75, 183277408.00,     1, 3.19, 1.00, 3.73 , 0.635879, 2.02803
686009503.85, 2569984.00,    0.00, 2175179036.77,  76904.95,      20.88,    1054642.96, 177850430.00,     1, 3.17, 1.00, 3.86 , 0.638896, 2.02579
744729834.88, 2694932.30,    0.00, 2204666461.64,  85618.33,      80.51,    1076320.08, 193768192.00,     1, 2.96, 1.00, 3.84 , 0.693584, 2.05326
740609588.22, 2729987.16,    0.00, 1966773951.52,  84826.28,      54.33,    3312696.47, 192436255.00,     1, 2.66, 1.00, 3.85 , 0.689746, 1.8317
704348745.30, 2597941.41,    0.00, 2227835000.18,  81315.53,      68.84,    1055667.60, 183080860.00,     1, 3.16, 1.00, 3.85 , 0.655976, 2.07483
713756146.86, 2522196.06,    0.00, 2222003508.49,  82344.81,      69.69,    1151267.42, 186199457.00,     1, 3.11, 1.00, 3.83 , 0.664737, 2.0694
720726732.01, 2767060.65,    0.00, 2258737384.82,  88729.75,     153.90,    1081883.58, 188823497.00,     1, 3.13, 1.00, 3.82 , 0.671229, 2.10361
689917914.33, 2599964.41,    0.00, 2216840836.86,  80911.53,     148.57,    1055447.85, 179906226.00,     1, 3.21, 1.00, 3.83 , 0.642536, 2.06459
768996083.37, 2817516.63,    0.00, 2282623277.67,  90510.22,      58.42,    1054893.42, 200335873.00,     1, 2.97, 1.00, 3.84 , 0.716183, 2.12586
752200188.56, 2705997.54,    0.00, 2277795664.41,  88736.97,      16.78,    1054279.14, 195801122.00,     1, 3.03, 1.00, 3.84 , 0.700541, 2.12136
763438686.47, 2773630.61,    0.00, 2304045535.21,  90189.96,      69.72,    1054400.33, 198007943.00,     1, 3.02, 1.00, 3.86 , 0.711008, 2.14581
728759604.23, 2622445.20,    0.00, 2203986083.17,  87332.66,      58.96,    1056757.04, 189502319.00,     1, 3.02, 1.00, 3.85 , 0.67871, 2.05262
746340466.88, 2709874.67,    0.00, 2329405133.27,  88830.28,      16.66,    1056329.04, 194360454.00,     1, 3.12, 1.00, 3.84 , 0.695084, 2.16943
745278956.03, 2659796.06,    0.00, 2327354750.45,  88712.15,       9.77,    1055974.14, 193401097.00,     1, 3.12, 1.00, 3.85 , 0.694095, 2.16752
754680511.56, 2725344.09,    0.00, 2354713438.31,  90173.41,      18.22,    1055514.76, 196242890.00,     1, 3.12, 1.00, 3.85 , 0.702851, 2.193
752158033.57, 2855184.67,    0.00, 2320103531.98,  91466.00,      51.53,    1053929.84, 198638341.00,     1, 3.08, 1.00, 3.79 , 0.700502, 2.16076
766917845.19, 2856758.19,    0.00, 2381264396.65,  94021.64,     101.66,    1058083.22, 199621459.00,     1, 3.10, 1.00, 3.84 , 0.714248, 2.21773
778509178.80, 2858703.21,    0.00, 2376925801.87,  98320.43,      54.52,    1057281.58, 202711976.00,     1, 3.05, 1.00, 3.84 , 0.725043, 2.21368
792152095.90, 2867352.90,    0.00, 2406419935.38, 101275.20,      39.18,    1053797.86, 205869566.00,     1, 3.04, 1.00, 3.85 , 0.737749, 2.24115
497767585.97, 1843989.50,    0.00, 1347033970.55, 4682472.61,      67.09,    1056594.01, 129342483.00,     1, 2.71, 1.00, 3.85 , 0.463582, 1.25452
