cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
520114751.12, 1939533.92,    0.00, 1321835971.20,  36069.79,      57.18,       5385.82, 135306818.00,     1, 2.54, 1.00, 3.84 , 0.484395, 1.23106
520068474.91, 1885812.52,    0.00, 1368213623.03,  35226.48,      21.05,       3577.91, 135221448.00,     1, 2.63, 1.00, 3.85 , 0.484352, 1.27425
520857049.52, 1873981.18,    0.00, 1307560189.05,  37429.53,       5.60,       3664.08, 134835420.00,     1, 2.51, 1.00, 3.86 , 0.485086, 1.21776
520816389.37, 1845598.60,    0.00, 1400388539.84,  37388.82,       0.00,       4210.36, 135436711.00,     1, 2.69, 1.00, 3.85 , 0.485048, 1.30421
524965166.53, 2111608.05,    0.00, 1390356023.96,  38062.43,      79.63,       4166.44, 140898740.00,     1, 2.65, 1.00, 3.73 , 0.488912, 1.29487
523491997.94, 1922385.92,    0.00, 1433957058.95,  36218.49,     119.24,       3861.61, 136455642.00,     1, 2.74, 1.00, 3.84 , 0.48754, 1.33548
521167321.98, 1828817.39,    0.00, 1275238825.49,  38015.14,       1.40,       3526.03, 134937877.00,     1, 2.45, 1.00, 3.86 , 0.485375, 1.18766
530036549.57, 1961186.11,    0.00, 1465608773.83,  37513.31,       1.39,       3639.98, 137251231.00,     1, 2.77, 1.00, 3.86 , 0.493635, 1.36495
531920518.56, 1862569.51,    0.00, 1458823917.54,  40806.32,       0.00,       3465.93, 137591772.00,     1, 2.74, 1.00, 3.87 , 0.49539, 1.35864
533873538.00, 1850159.21,    0.00, 1501658397.21,  36888.75,       0.00,       3373.03, 138188131.00,     1, 2.81, 1.00, 3.86 , 0.497208, 1.39853
529566891.63, 1874456.22,    0.00, 1439842746.39,  41393.35,       2.77,       3492.17, 137008602.00,     1, 2.72, 1.00, 3.87 , 0.493198, 1.34096
544483963.28, 1971925.63,    0.00, 1535252791.34,  38267.69,      33.82,       5078.52, 141168228.00,     1, 2.82, 1.00, 3.86 , 0.50709, 1.42982
540970019.00, 2080326.77,    0.00, 1526280014.81,  41833.53,      86.47,       4636.39, 143786337.00,     1, 2.82, 1.00, 3.76 , 0.503818, 1.42146
547030668.46, 1919782.96,    0.00, 1566658695.80,  36384.66,       4.21,       3646.55, 141962980.00,     1, 2.86, 1.00, 3.85 , 0.509462, 1.45906
520488619.53, 1830792.95,    0.00, 1207439944.07,  38720.92,      71.51,       4215.08, 135061323.00,     1, 2.32, 1.00, 3.85 , 0.484743, 1.12452
558986604.50, 1910428.23,    0.00, 1600611740.10,  37600.27,      19.47,       3635.23, 144462142.00,     1, 2.86, 1.00, 3.87 , 0.520597, 1.49069
563052358.39, 2017952.97,    0.00, 1590702195.02,  43907.68,      19.46,       4472.68, 145925167.00,     1, 2.83, 1.00, 3.86 , 0.524383, 1.48146
573654022.13, 2022382.71,    0.00, 1636705891.87,  40931.47,       2.81,       4119.78, 148846504.00,     1, 2.85, 1.00, 3.85 , 0.534257, 1.5243
558648581.78, 1976141.81,    0.00, 1574277806.76,  42473.89,      22.12,       3536.88, 144555397.00,     1, 2.82, 1.00, 3.86 , 0.520282, 1.46616
588192604.74, 2081096.51,    0.00, 1667865169.16,  41741.93,       6.94,       4494.10, 152626747.00,     1, 2.84, 1.00, 3.85 , 0.547797, 1.55332
595282068.11, 2101432.99,    0.00, 1660991114.23,  47673.77,      88.53,       4613.14, 154749335.00,     1, 2.79, 1.00, 3.85 , 0.5544, 1.54692
606805649.70, 2146664.93,    0.00, 1710422431.70,  44823.24,      93.55,       4054.16, 157669361.00,     1, 2.82, 1.00, 3.85 , 0.565132, 1.59296
536973156.74, 1885292.86,    0.00, 1542559640.06,  41526.95,      19.46,       3729.09, 138967345.00,     1, 2.87, 1.00, 3.86 , 0.500095, 1.43662
605243295.65, 2067976.21,    0.00, 1743143042.08,  42657.23,       2.80,       3971.55, 156497706.00,     1, 2.88, 1.00, 3.87 , 0.563677, 1.62343
611084934.62, 2151892.05,    0.00, 1727241117.40,  49014.22,      11.09,       4479.28, 158904542.00,     1, 2.83, 1.00, 3.85 , 0.569117, 1.60862
632707485.46, 2223611.55,    0.00, 1777316245.31,  47132.66,      33.42,       4265.37, 164161035.00,     1, 2.81, 1.00, 3.85 , 0.589255, 1.65525
613436193.03, 2161614.37,    0.00, 1708045947.46,  50105.43,       6.92,       4217.36, 158690805.00,     1, 2.78, 1.00, 3.87 , 0.571307, 1.59074
663266706.29, 2284842.16,    0.00, 1815241959.56,  49796.73,      11.12,       5319.62, 171771242.00,     1, 2.74, 1.00, 3.86 , 0.617715, 1.69058
659390710.34, 2263512.19,    0.00, 1797331040.58,  55273.30,       6.98,       4997.27, 170680065.00,     1, 2.73, 1.00, 3.86 , 0.614105, 1.67389
652840387.33, 2200378.52,    0.00, 1836773235.36,  50827.62,      33.70,       4611.66, 168707504.00,     1, 2.81, 1.00, 3.87 , 0.608005, 1.71063
544299852.41, 1883172.14,    0.00, 1896081100.34,  44729.16,       5.62,    1074624.38, 141327745.00,     1, 3.48, 1.00, 3.85 , 0.506919, 1.76586
519606428.04, 1811934.75,    0.00, 1324212866.84,  32214.00,      18.19,       3639.45, 134354086.00,     1, 2.55, 1.00, 3.87 , 0.483921, 1.23327
