cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
295071419.95, 1230443.69,    0.00, 970047011.29,  21033.89,      53.41,       2575.29, 78206281.00,     1, 3.29, 1.00, 3.77 , 0.274807, 0.903427
302920642.51, 1280039.83,    0.00, 962479569.11,  22823.28,      51.09,       2803.99, 80646270.00,     1, 3.18, 1.00, 3.76 , 0.282117, 0.896379
298243433.22, 1216696.77,    0.00, 963824981.42,  19768.65,      84.45,       2268.71, 77639231.00,     1, 3.23, 1.00, 3.84 , 0.277761, 0.897632
310923547.62, 1887468.54,    0.00, 969173142.51,  29176.41,    1637.28,      58412.66, 102514474.00,     1, 3.12, 1.00, 3.03 , 0.28957, 0.902613
304518532.37, 1543612.34,    0.00, 970973056.73,  26082.34,    1507.25,       6667.67, 97529292.00,     1, 3.19, 1.00, 3.12 , 0.283605, 0.904289
309406209.01, 1285953.22,    0.00, 963677908.07,  21789.68,      75.67,       2490.30, 81057040.00,     1, 3.11, 1.00, 3.82 , 0.288157, 0.897495
304888389.69, 1199100.39,    0.00, 964115165.64,  19972.29,      99.72,       2294.53, 79780910.00,     1, 3.16, 1.00, 3.82 , 0.283949, 0.897902
307980292.38, 1257098.11,    0.00, 964335677.91,  20345.49,      49.34,       2471.34, 81628424.00,     1, 3.13, 1.00, 3.77 , 0.286829, 0.898108
305872019.07, 1219121.71,    0.00, 963255019.43,  21228.48,     121.64,       2483.53, 80715264.00,     1, 3.15, 1.00, 3.79 , 0.284866, 0.897101
309226676.98, 1252935.29,    0.00, 962092832.09,  21207.45,     159.32,       2582.21, 80866232.00,     1, 3.11, 1.00, 3.82 , 0.28799, 0.896019
305004378.75, 1248160.70,    0.00, 966752440.54,  21501.72,      61.20,       2650.84, 80157008.00,     1, 3.17, 1.00, 3.81 , 0.284057, 0.900358
308223629.60, 1248038.76,    0.00, 964544263.30,  20619.61,      31.68,       2408.46, 81219285.00,     1, 3.13, 1.00, 3.79 , 0.287056, 0.898302
303465174.58, 1312651.41,    0.00, 970772670.73,  21124.83,      32.18,       3369.63, 80355793.00,     1, 3.20, 1.00, 3.78 , 0.282624, 0.904103
307252964.16, 1197416.72,    0.00, 965011609.84,  21241.84,      19.40,       2178.32, 80679102.00,     1, 3.14, 1.00, 3.81 , 0.286152, 0.898737
304012809.29, 1192375.80,    0.00, 967126556.70,  21282.86,      16.77,       2648.45, 79749320.00,     1, 3.18, 1.00, 3.81 , 0.283134, 0.900707
307895697.88, 1175140.53,    0.00, 964554200.84,  20217.90,      13.94,       2123.44, 80734828.00,     1, 3.13, 1.00, 3.81 , 0.28675, 0.898311
304654300.85, 1185793.28,    0.00, 968990838.67,  21480.51,      19.63,       2188.86, 80164381.00,     1, 3.18, 1.00, 3.80 , 0.283731, 0.902443
307322644.73, 1167231.41,    0.00, 962749741.54,  21087.48,      19.51,       2113.01, 80533403.00,     1, 3.13, 1.00, 3.82 , 0.286217, 0.896631
305571596.48, 1157023.61,    0.00, 967421261.96,  20852.83,      13.80,       2919.39, 80268974.00,     1, 3.17, 1.00, 3.81 , 0.284586, 0.900981
307571061.30, 1184129.65,    0.00, 963031155.88,  20189.77,       9.74,       2120.62, 80825891.00,     1, 3.13, 1.00, 3.81 , 0.286448, 0.896893
304144240.32, 1217497.46,    0.00, 968280081.60,  21809.23,      16.80,       2688.11, 79715555.00,     1, 3.18, 1.00, 3.82 , 0.283256, 0.901781
308346199.68, 1177081.06,    0.00, 962413681.59,  20743.00,       5.59,       2078.88, 80746853.00,     1, 3.12, 1.00, 3.82 , 0.28717, 0.896318
304166312.56, 1222819.97,    0.00, 967719904.25,  21638.24,       9.66,       2146.18, 80189883.00,     1, 3.18, 1.00, 3.79 , 0.283277, 0.901259
308915804.07, 1274677.38,    0.00, 962262822.48,  22231.81,      45.81,       2456.95, 81551120.00,     1, 3.11, 1.00, 3.79 , 0.2877, 0.896177
305924400.90, 1294361.19,    0.00, 965261877.72,  21505.10,      53.74,       2241.66, 80728489.00,     1, 3.16, 1.00, 3.79 , 0.284914, 0.89897
308590587.37, 1256446.44,    0.00, 960509683.72,  21125.57,     124.75,       2139.66, 80050600.00,     1, 3.11, 1.00, 3.85 , 0.287397, 0.894544
303540217.35, 1161404.29,    0.00, 969748589.88,  20981.36,       6.92,       2110.90, 79837737.00,     1, 3.19, 1.00, 3.80 , 0.282694, 0.903149
307781700.22, 1185664.46,    0.00, 962166007.17,  20395.44,       6.91,       2122.75, 80352841.00,     1, 3.13, 1.00, 3.83 , 0.286644, 0.896087
304228362.25, 1236940.30,    0.00, 969546560.53,  21958.34,      12.55,       2239.67, 80499530.00,     1, 3.19, 1.00, 3.78 , 0.283335, 0.902961
306890665.74, 1189055.96,    0.00, 967054797.06,  21367.49,      11.04,       2146.01, 80516553.00,     1, 3.15, 1.00, 3.81 , 0.285814, 0.90064
305452799.30, 1178591.17,    0.00, 964202447.21,  21027.74,       9.75,       2230.32, 79799853.00,     1, 3.16, 1.00, 3.83 , 0.284475, 0.897984
307476643.22, 1139197.44,    0.00, 962220079.22,  19991.69,       6.96,       2013.77, 80315207.00,     1, 3.13, 1.00, 3.83 , 0.28636, 0.896137
