cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2222932008.06, 6854379.99,    0.00, 7223306384.48, 132047.69,     111.92,    3191344.15, 503628309.00,     1, 3.25, 1.00, 4.41 , 2.07027, 6.72723
2215333986.87, 6410477.04,    0.00, 7260067535.85, 138293.90,      64.38,    4203136.94, 496843101.00,     1, 3.28, 1.00, 4.46 , 2.06319, 6.76146
2281003539.03, 6688754.36,    0.00, 7456041015.97, 151296.77,      97.93,    4202246.29, 514647945.00,     1, 3.27, 1.00, 4.43 , 2.12435, 6.94398
2399402220.37, 6910888.57,    0.00, 7711239857.59, 152772.32,      34.87,    3202117.04, 537059381.00,     1, 3.21, 1.00, 4.47 , 2.23462, 7.18165
2530408469.12, 7337723.25,    0.00, 8178187993.15, 156982.85,      25.22,    4220216.60, 568859571.00,     1, 3.23, 1.00, 4.45 , 2.35663, 7.61653
2974935756.22, 8712586.89,    0.00, 9992357827.77, 194847.28,      68.55,    3163684.06, 669459288.00,     1, 3.36, 1.00, 4.44 , 2.77062, 9.30611
3882011018.08, 11032483.80,    0.00, 12920681322.46, 287358.03,      15.38,    3163358.94, 871753971.00,     1, 3.33, 1.00, 4.45 , 3.6154, 12.0333
5391254591.46, 16250893.26,    0.00, 18393993567.03, 409116.93,     505.36,    2125098.88, 1219909139.00,     1, 3.41, 1.00, 4.42 , 5.021, 17.1307
8313146931.74, 23877523.73,    0.00, 28777222143.44, 641333.79,     229.43,    3411477.39, 1867038667.00,     1, 3.46, 1.00, 4.45 , 7.74222, 26.8009
14851346381.36, 42727109.17,    0.00, 49974726503.92, 1141892.89,     250.57,    5502237.33, 3334185448.00,     1, 3.36, 1.00, 4.45 , 13.8314, 46.5426
15010496103.32, 42464456.12,    0.00, 50404227146.86, 1156160.99,     152.57,    5289299.57, 3364928185.00,     1, 3.36, 1.00, 4.46 , 13.9796, 46.9426
14805854352.95, 42671091.89,    0.00, 50025232575.55, 1119859.22,     379.36,    5052726.52, 3329135104.00,     1, 3.38, 1.00, 4.45 , 13.789, 46.5896
15008618681.26, 42752170.76,    0.00, 50394065415.69, 1126403.85,      96.58,    5997639.15, 3366391287.00,     1, 3.36, 1.00, 4.46 , 13.9779, 46.9331
14793087967.97, 42206506.86,    0.00, 49997540311.03, 1134499.14,     173.61,    5263106.93, 3318036559.00,     1, 3.38, 1.00, 4.46 , 13.7771, 46.5638
15028172898.27, 42892296.41,    0.00, 50370971111.38, 1169999.91,     169.35,    5957740.12, 3372912794.00,     1, 3.35, 1.00, 4.46 , 13.9961, 46.9116
14705908365.91, 41612712.62,    0.00, 49973615368.56, 1120017.22,     212.82,    6530463.67, 3299129998.00,     1, 3.40, 1.00, 4.46 , 13.6959, 46.5416
15040320621.64, 42717283.58,    0.00, 50370537582.36, 1130103.34,     228.16,    6003080.15, 3370731151.00,     1, 3.35, 1.00, 4.46 , 14.0074, 46.9112
14794627264.29, 42033353.45,    0.00, 50036825046.06, 1135696.81,     201.56,    5198402.14, 3322182049.00,     1, 3.38, 1.00, 4.45 , 13.7786, 46.6004
15018389757.83, 42687033.67,    0.00, 50380689255.92, 1163281.31,     232.36,    5785456.94, 3366405740.00,     1, 3.35, 1.00, 4.46 , 13.987, 46.9207
14812041447.86, 41966233.57,    0.00, 49995901613.70, 1122403.05,     130.23,    5307919.97, 3318923796.00,     1, 3.38, 1.00, 4.46 , 13.7948, 46.5623
15002147449.32, 43720135.46,    0.00, 50375275501.86, 1129665.90,     176.43,    5117039.41, 3375546150.00,     1, 3.36, 1.00, 4.44 , 13.9718, 46.9156
14823286748.09, 42322692.22,    0.00, 50006934948.26, 1137852.72,    1190.01,    5223345.73, 3325518462.00,     1, 3.37, 1.00, 4.46 , 13.8053, 46.5726
14961998835.69, 42123714.63,    0.00, 50375909587.05, 1160125.72,     223.91,    6196631.98, 3351587127.00,     1, 3.37, 1.00, 4.46 , 13.9344, 46.9162
14821144747.74, 42389214.96,    0.00, 50024416098.77, 1128282.03,     186.24,    5187174.96, 3325844201.00,     1, 3.38, 1.00, 4.46 , 13.8033, 46.5889
15012859305.10, 42921910.92,    0.00, 50382178154.88, 1128687.02,     210.03,    5966004.03, 3367458869.00,     1, 3.36, 1.00, 4.46 , 13.9818, 46.9221
14783043332.38, 41815131.61,    0.00, 49978552215.09, 1127296.34,     188.94,    5282091.31, 3314352762.00,     1, 3.38, 1.00, 4.46 , 13.7678, 46.5462
15034741243.87, 43250234.97,    0.00, 50395208040.75, 1167591.78,     306.60,    6266212.71, 3376453005.00,     1, 3.35, 1.00, 4.45 , 14.0022, 46.9342
14794359869.56, 41819821.16,    0.00, 50021050611.88, 1120807.32,     352.80,    5234978.42, 3318299172.00,     1, 3.38, 1.00, 4.46 , 13.7783, 46.5857
15016369398.91, 42584506.13,    0.00, 50389855176.72, 1131487.39,     125.98,    6061545.75, 3363946392.00,     1, 3.36, 1.00, 4.46 , 13.9851, 46.9292
14820627439.09, 42511591.55,    0.00, 50010295902.53, 1134632.97,     268.80,    5218012.00, 3326962520.00,     1, 3.37, 1.00, 4.45 , 13.8028, 46.5757
15018699647.66, 42872016.65,    0.00, 50394167538.17, 1163512.83,     172.21,    6350530.68, 3368376241.00,     1, 3.36, 1.00, 4.46 , 13.9873, 46.9332
2161839693.24, 6488457.37,    0.00, 7178500043.81, 132957.33,      53.16,    3241770.25, 487158475.00,     1, 3.32, 1.00, 4.44 , 2.01337, 6.6855
