cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
4681240124.57, 17029549.83,    0.00, 14348791074.71, 378671.50,    1248.31,    1089729.47, 1241620592.00,     1, 3.07, 1.00, 3.77 , 4.35974, 13.3634
4528619119.67, 14698705.99,    0.00, 14292425965.45, 320802.26,     370.66,    1600858.92, 1174935739.00,     1, 3.16, 1.00, 3.85 , 4.21761, 13.3109
4614345700.10, 14890864.82,    0.00, 14413410783.68, 348620.15,      64.35,    1080379.96, 1194363857.00,     1, 3.12, 1.00, 3.86 , 4.29744, 13.4235
4923855073.58, 16188445.99,    0.00, 13723358155.73, 359627.80,     279.97,    1081341.62, 1281600359.00,     1, 2.79, 1.00, 3.84 , 4.5857, 12.7809
4600489919.29, 14974499.06,    0.00, 14700739470.61, 367565.67,     180.42,    1078083.24, 1194264446.00,     1, 3.20, 1.00, 3.85 , 4.28454, 13.6911
4704234986.24, 15092835.45,    0.00, 14677901103.02, 399270.37,     116.12,    1081681.41, 1216453563.00,     1, 3.12, 1.00, 3.87 , 4.38116, 13.6699
4590039013.29, 14890520.50,    0.00, 14799828651.11, 361483.75,     120.39,    1080351.52, 1189936173.00,     1, 3.22, 1.00, 3.86 , 4.27481, 13.7834
4954361148.16, 16186651.15,    0.00, 13629107017.62, 390104.75,     168.03,    1085813.90, 1288259089.00,     1, 2.75, 1.00, 3.85 , 4.61411, 12.6931
4582053272.05, 14879162.30,    0.00, 14896872836.69, 361165.63,     226.65,    1080495.18, 1188160029.00,     1, 3.25, 1.00, 3.86 , 4.26737, 13.8738
4612053587.87, 14634401.28,    0.00, 14881125652.39, 359585.35,     339.96,    1082301.94, 1194318066.00,     1, 3.23, 1.00, 3.86 , 4.29531, 13.8591
4577983064.42, 14719342.19,    0.00, 14996181846.70, 400658.00,     113.32,    1079192.68, 1185784003.00,     1, 3.28, 1.00, 3.86 , 4.26358, 13.9663
4631983498.14, 15242616.27,    0.00, 14844451968.38, 380625.19,     219.73,    1081157.99, 1205900351.00,     1, 3.20, 1.00, 3.84 , 4.31387, 13.825
4612568880.42, 15276978.24,    0.00, 15108401943.45, 382327.18,     120.25,    1084509.56, 1201683399.00,     1, 3.28, 1.00, 3.84 , 4.29579, 14.0708
4714214339.18, 15390912.35,    0.00, 15091039178.46, 381245.31,     367.85,    1282719.35, 1223832183.00,     1, 3.20, 1.00, 3.85 , 4.39045, 14.0546
4655996490.30, 15154790.19,    0.00, 15197050488.22, 369671.69,      81.13,    1080231.74, 1208207193.00,     1, 3.26, 1.00, 3.85 , 4.33623, 14.1534
4039660857.48, 13555639.24,    0.00, 12735587796.19, 332845.13,     184.54,    1080837.54, 1054213999.00,     1, 3.15, 1.00, 3.83 , 3.76223, 11.8609
4851464708.43, 15572804.64,    0.00, 15304881174.52, 385155.42,     250.45,    1083719.87, 1257692502.00,     1, 3.15, 1.00, 3.86 , 4.51828, 14.2538
4717727754.43, 15119565.31,    0.00, 15286785001.30, 389435.43,     162.27,    1080617.51, 1220350774.00,     1, 3.24, 1.00, 3.87 , 4.39373, 14.2369
4685784506.66, 15240330.84,    0.00, 15399306507.59, 373049.73,      78.38,    1081173.91, 1213327356.00,     1, 3.29, 1.00, 3.86 , 4.36398, 14.3417
4732336197.33, 15685326.51,    0.00, 15252364469.85, 349469.48,     358.32,    1085387.17, 1232946426.00,     1, 3.22, 1.00, 3.84 , 4.40733, 14.2049
4742502013.65, 15453679.10,    0.00, 15504866076.72, 390199.95,     310.40,    1081374.89, 1229044277.00,     1, 3.27, 1.00, 3.86 , 4.4168, 14.44
4806591366.34, 15269987.40,    0.00, 15479422752.62, 403816.56,     107.72,    1079669.39, 1244216372.00,     1, 3.22, 1.00, 3.86 , 4.47649, 14.4163
4767364184.46, 15460812.43,    0.00, 15606816133.31, 370446.38,     100.80,    1080069.32, 1233541203.00,     1, 3.27, 1.00, 3.86 , 4.43995, 14.535
4611861190.43, 15286095.20,    0.00, 15111888785.08, 360757.41,     247.74,    1082292.15, 1200605992.00,     1, 3.28, 1.00, 3.84 , 4.29513, 14.074
4870095761.12, 15962770.12,    0.00, 15703877320.49, 396545.28,     274.19,    1081290.71, 1262647479.00,     1, 3.22, 1.00, 3.86 , 4.53563, 14.6254
4760190861.66, 15387055.08,    0.00, 15685620573.78, 370262.18,     257.61,    1081096.95, 1232916056.00,     1, 3.30, 1.00, 3.86 , 4.43327, 14.6084
4909870339.22, 16012071.26,    0.00, 15811076782.12, 370256.52,     198.53,    1085499.80, 1271984484.00,     1, 3.22, 1.00, 3.86 , 4.57267, 14.7252
4779991527.78, 15691977.42,    0.00, 15650125285.93, 388334.12,     151.04,    1085132.61, 1242794197.00,     1, 3.27, 1.00, 3.85 , 4.45171, 14.5753
4847151757.82, 15785264.45,    0.00, 15905746815.30, 375846.94,     258.73,    1083894.78, 1256905297.00,     1, 3.28, 1.00, 3.86 , 4.51426, 14.8134
4915446041.65, 15692560.50,    0.00, 15889611339.44, 406784.68,     205.52,    1081677.29, 1271977472.00,     1, 3.23, 1.00, 3.86 , 4.57787, 14.7984
1020420747.18, 3616911.87,    0.00, 3396407909.53,  72460.66,      51.73,    1057781.40, 265634722.00,     1, 3.33, 1.00, 3.84 , 0.950341, 3.16315
1300140928.09, 4277823.89,    0.00, 4185705918.68,  91470.98,      26.62,    1058094.55, 336320953.00,     1, 3.22, 1.00, 3.87 , 1.21085, 3.89824
