dataset|column|type|uncompressed_size|scheme|block_size|morsel|p2schema|p2header|p2payload|compressed_size|compressed_header|compressed_payload|compression_rate|decompression_time|decompression_bandwidth(compressed)|decompression_bandwidth(uncompressed)
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|true||||6042384|1390752|4651632|6.54695|3959|1.52586|9.9897
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false||||6042384|1390752|4651632|6.54695|20686|0.292096|1.91233
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|lz4|true|true|4985577|0|4985577|7.93472|58211|0.0856454|0.679572
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|lz4|true|false|5315445|663813|4651632|7.44231|58411|0.0909994|0.677246
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|lz4|false|true|5712522|1390752|4321770|6.92499|58538|0.0975853|0.675778
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|lz4|false|false|4985577|0|4985577|7.93472|58067|0.0858581|0.68126
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|zstd|true|true|3845447|0|3845447|10.2873|66125|0.058154|0.598246
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|zstd|true|false|4945523|293891|4651632|7.99899|63404|0.0779998|0.62392
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|zstd|false|true|4938674|1390752|3547922|8.01008|84173|0.0586727|0.469973
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|zstd|false|false|3845447|0|3845447|10.2873|67540|0.0569355|0.585711
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|snappy|true|true|4999073|0|4999073|7.9133|76564|0.0652924|0.516678
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|snappy|true|false|5353437|701805|4651632|7.38949|70192|0.0762682|0.563583
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|snappy|false|true|5733064|1390752|4342312|6.90018|65418|0.0876372|0.604712
Arade/Arade_1.csv|10|int|39559168|tinyblocks|64|false|snappy|false|false|4999073|0|4999073|7.9133|73911|0.0676362|0.535225
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|true||||4968320|695376|4272944|7.96228|1339|3.70793|29.5236
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false||||4968320|695376|4272944|7.96228|18562|0.26766|2.13118
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|lz4|true|true|4366808|0|4366808|9.05906|55789|0.078273|0.70908
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|lz4|true|false|4604516|331572|4272944|8.59138|55321|0.0832324|0.715081
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|lz4|false|true|4730744|695376|4035368|8.36215|55702|0.0849293|0.710191
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|lz4|false|false|4366808|0|4366808|9.05906|55717|0.0783747|0.710001
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|zstd|true|true|3544707|0|3544707|11.1601|63193|0.056093|0.626002
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|zstd|true|false|4408839|135895|4272944|8.9727|60503|0.0728696|0.653837
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|zstd|false|true|4103883|695376|3408507|9.63945|62404|0.0657631|0.63392
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|zstd|false|false|3544707|0|3544707|11.1601|63277|0.0560188|0.625173
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|snappy|true|true|4377023|0|4377023|9.03792|64609|0.0677461|0.612283
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|snappy|true|false|4605166|332222|4272944|8.59017|62652|0.0735033|0.631406
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|snappy|false|true|4758747|695376|4063371|8.31294|65063|0.0731397|0.608006
Arade/Arade_1.csv|10|int|39559168|tinyblocks|128|false|snappy|false|false|4377023|0|4377023|9.03792|68953|0.0634782|0.573711
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|true||||4719496|347688|4371808|8.38207|980|4.8139|40.3505
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false||||4719496|347688|4371808|8.38207|17807|0.265022|2.22144
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|lz4|true|true|4419339|0|4419339|8.95138|55530|0.0795834|0.712381
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|lz4|true|false|4540764|168956|4371808|8.71201|58475|0.0776527|0.676511
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|lz4|false|true|4598076|347688|4250388|8.60342|56015|0.0820855|0.706216
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|lz4|false|false|4419339|0|4419339|8.95138|54862|0.0805531|0.721061
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|zstd|true|true|3678148|0|3678148|10.7552|62434|0.0589126|0.633616
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|zstd|true|false|4444690|72882|4371808|8.90032|58205|0.0763621|0.679648
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|zstd|false|true|3950472|347688|3602784|10.0138|61095|0.0646604|0.647496
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|zstd|false|false|3678148|0|3678148|10.7552|63157|0.058238|0.62636
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|snappy|true|true|4503216|0|4503216|8.78465|60935|0.0739017|0.6492
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|snappy|true|false|4534193|162385|4371808|8.72463|59835|0.075777|0.661127
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|snappy|false|true|4686687|347688|4338999|8.44075|60238|0.0778022|0.656709
Arade/Arade_1.csv|10|int|39559168|tinyblocks|256|false|snappy|false|false|4503216|0|4503216|8.78465|62185|0.0724155|0.636145
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|true||||4657428|173844|4483584|8.49378|949|4.90724|41.681
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false||||4657428|173844|4483584|8.49378|18299|0.254505|2.16171
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|lz4|true|true|4461351|0|4461351|8.86708|55854|0.0798748|0.708257
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|lz4|true|false|4568612|85028|4483584|8.6589|59060|0.0773549|0.669808
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|lz4|false|true|4550172|173844|4376328|8.69399|54364|0.0836979|0.727669
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|lz4|false|false|4461351|0|4461351|8.86708|55277|0.0807081|0.715645
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|zstd|true|true|3751271|0|3751271|10.5455|61852|0.0606485|0.639571
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|zstd|true|false|4521785|38201|4483584|8.74857|59565|0.075913|0.664131
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|zstd|false|true|3890237|173844|3716393|10.1688|62085|0.0626592|0.637171
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|zstd|false|false|3751271|0|3751271|10.5455|62865|0.0596712|0.629265
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|snappy|true|true|4538388|0|4538388|8.71657|61240|0.074108|0.645967
Arade/Arade_1.csv|10|int|39559168|tinyblocks|512|false|snappy|true|false|4568819|85235|4483584|8.65851|59692|0.0765398|0.662721
