dataset|column|type|uncompressed_size|scheme|block_size|morsel|p2schema|p2header|p2payload|compressed_size|compressed_header|compressed_payload|compression_rate|decompression_time|decompression_bandwidth(compressed)|decompression_bandwidth(uncompressed)
PostHistoryTypes.csv|0|int|4096|tinyblocks|64|true||||208|144|64|19.6923|6|0.0331686|0.653165
PostHistoryTypes.csv|0|int|4096|tinyblocks|64|false||||208|144|64|19.6923|16|0.012571|0.247552
PostHistoryTypes.csv|0|int|4096|tinyblocks|128|true||||184|72|112|22.2609|7|0.0250852|0.558419
PostHistoryTypes.csv|0|int|4096|tinyblocks|128|false||||184|72|112|22.2609|14|0.0127787|0.284464
PostHistoryTypes.csv|0|int|4096|tinyblocks|256|true||||260|36|224|15.7538|17|0.0147921|0.233032
PostHistoryTypes.csv|0|int|4096|tinyblocks|256|false||||260|36|224|15.7538|7|0.0365271|0.575443
PostHistoryTypes.csv|0|int|4096|tinyblocks|512|true||||466|18|448|8.7897|4|0.115147|1.01211
PostHistoryTypes.csv|0|int|4096|tinyblocks|512|false||||466|18|448|8.7897|6|0.0679796|0.59752
PostHistoryTypes.csv|0|int|4096|bitpacking|64|true||||1104|80|1024|3.71014|14|0.0771111|0.286093
PostHistoryTypes.csv|0|int|4096|bitpacking|64|false||||1104|80|1024|3.71014|16|0.0657848|0.244071
PostHistoryTypes.csv|0|int|4096|delta|64|false||||1029|5|1024|3.98056|16|0.0607761|0.241923
PostHistoryTypes.csv|0|int|4096|for|64|true||||1029|5|1024|3.98056|6|0.157315|0.626204
PostHistoryTypes.csv|0|int|4096|for|64|false||||1029|5|1024|3.98056|15|0.0643688|0.256224
PostHistoryTypes.csv|0|int|4096|rle|64|false||||276|4|272|14.8406|16|0.0169066|0.250904
PostHistoryTypes.csv|0|int|4096|forn|64|true||||1168|144|1024|3.50685|7|0.161616|0.566764
PostHistoryTypes.csv|0|int|4096|forn|64|false||||1168|144|1024|3.50685|15|0.0737979|0.258798
PostHistoryTypes.csv|0|int|4096|forn|128|true||||1096|72|1024|3.73723|15|0.0715778|0.267503
PostHistoryTypes.csv|0|int|4096|forn|128|false||||1096|72|1024|3.73723|16|0.0677463|0.253183
PostHistoryTypes.csv|0|int|4096|forn|256|true||||1060|36|1024|3.86415|7|0.136212|0.526343
PostHistoryTypes.csv|0|int|4096|forn|256|false||||1060|36|1024|3.86415|16|0.063363|0.244844
PostHistoryTypes.csv|0|int|4096|forn|512|true||||1042|18|1024|3.9309|15|0.0692773|0.272322
PostHistoryTypes.csv|0|int|4096|forn|512|false||||1042|18|1024|3.9309|15|0.0684491|0.269067
PostHistoryTypes.csv|0|int|4096|lz4|64|false||||159|0|159|25.761|9|0.0174937|0.450655
PostHistoryTypes.csv|0|int|4096|zstd|64|false||||76|0|76|53.8947|58|0.00129562|0.0698273
PostHistoryTypes.csv|0|int|4096|snappy|64|false||||340|0|340|12.0471|41|0.00823923|0.0992585
PostHistoryTypes.csv|0|int|4096|uncompressed|64|true||||4096|0|4096|1|13|0.313294|0.313294
PostHistoryTypes.csv|0|int|4096|uncompressed|64|false||||4096|0|4096|1|14|0.282288|0.282288
LinkTypes.csv|0|int|4096|tinyblocks|64|true||||160|144|16|25.6|13|0.0118212|0.302623
LinkTypes.csv|0|int|4096|tinyblocks|64|false||||160|144|16|25.6|2|0.0540358|1.38332
LinkTypes.csv|0|int|4096|tinyblocks|128|true||||104|72|32|39.3846|3|0.028501|1.1225
LinkTypes.csv|0|int|4096|tinyblocks|128|false||||104|72|32|39.3846|14|0.00712085|0.280452
LinkTypes.csv|0|int|4096|tinyblocks|256|true||||100|36|64|40.96|7|0.0139645|0.571987
LinkTypes.csv|0|int|4096|tinyblocks|256|false||||100|36|64|40.96|14|0.00670376|0.274586
LinkTypes.csv|0|int|4096|tinyblocks|512|true||||146|18|128|28.0548|14|0.00976001|0.273815
LinkTypes.csv|0|int|4096|tinyblocks|512|false||||146|18|128|28.0548|6|0.0214864|0.602796
LinkTypes.csv|0|int|4096|bitpacking|64|true||||336|80|256|12.1905|15|0.0216565|0.264003
LinkTypes.csv|0|int|4096|bitpacking|64|false||||336|80|256|12.1905|16|0.0202666|0.24706
LinkTypes.csv|0|int|4096|delta|64|false||||1029|5|1024|3.98056|17|0.0589077|0.234486
